,0
199,104503
200,104504
201,104601
202,104602
203,104603
204,104604
205,104701
206,104702
207,104703
208,104801
209,104802
210,104803
211,104804
212,104805
213,104901
214,104902
215,104903
216,105001
217,105002
218,105003
219,105101
220,105102
221,105103
222,105201
223,105202
224,105203
225,105301
226,105302
227,105303
228,105304
229,105305
230,105306
231,105401
232,105402
233,105403
234,105404
235,105405
236,105501
237,105502
238,105503
239,105504
240,105601
241,105602
242,105603
243,105604
244,105701
245,105702
246,105703
247,105704
248,105705
249,105706
250,105707
251,105708
252,105801
253,105802
254,105803
255,105804
256,105901
257,105902
258,106001
259,106002
260,106101
261,106102
262,106103
263,106104
264,106105
265,106201
266,106202
267,106203
268,106204
269,106205
270,106206
271,106301
272,106302
273,106303
274,106304
275,106305
276,106306
277,106307
278,106401
279,106402
280,106403
281,106404
282,106501
283,106502
284,106503
285,106504
286,106505
287,106506
288,106601
289,106602
290,106603
291,106604
292,106605
293,106701
294,106702
295,106703
296,106704
297,106705
298,106801
299,106802
300,106803
301,106804
302,106901
303,106902
304,106903
305,106904
306,107001
307,107002
308,107101
309,107102
310,107103
311,107104
312,107105
313,107106
314,107201
315,107202
316,107203
317,107204
318,107205
319,107301
320,107302
321,107303
322,107304
323,107305
324,107306
325,107307
326,107308
327,107309
328,107310
329,107311
330,107401
331,107402
332,107403
333,107404
334,107405
335,107501
336,107502
337,107503
338,107504
339,107601
340,107602
341,107603
342,107604
343,107605
344,107701
345,107702
346,107703
347,107704
348,107801
349,107802
350,107803
351,107804
352,107805
353,107901
354,107902
355,107903
356,107904
357,108001
358,108002
359,108003
360,108004
361,108101
362,108102
363,108103
364,108104
365,108105
366,108201
367,108202
368,108203
369,108204
370,108301
371,108302
372,108303
373,108304
374,108305
375,108401
376,108402
377,108403
378,108404
379,108405
380,108501
381,108502
382,108503
383,108601
384,108602
385,108603
386,108604
387,108701
388,108702
389,108703
390,108704
391,108801
392,108802
393,108803
394,108804
395,108805
396,108901
397,108902
398,108903
399,108904
400,108905
401,108906
402,108907
403,108908
404,108909
405,108910
406,109001
407,109002
408,109101
409,109201
410,109202
411,109203
412,109204
413,109205
414,109206
415,109301
416,109302
417,109303
418,109304
419,109401
420,109402
421,109403
422,109404
423,109405
424,109501
425,109502
426,109503
427,109504
428,109505
429,109506
430,109507
431,109601
432,109602
433,109603
434,109604
435,109701
436,109702
437,109703
438,109801
439,109802
440,109803
441,109804
442,109805
443,109901
444,109902
445,109903
446,109904
447,109905
448,110001
449,110002
450,110003
451,110004
452,110005
453,110101
454,110102
455,110103
456,110104
457,110105
458,110106
459,110107
460,110201
461,110202
462,110203
463,110204
464,110205
465,110301
466,110302
467,110303
468,110304
469,110305
470,110401
471,110402
472,110403
473,110404
474,110405
475,110406
476,110501
477,110502
478,110503
479,110504
480,110601
481,110602
482,110603
483,110604
484,110605
485,110701
486,110702
487,110703
488,110801
489,110802
490,110803
491,110804
492,110805
493,110806
494,110807
495,110808
496,110809
497,110901
498,110902
499,110903
500,110904
501,111001
502,111002
503,111003
504,111004
505,111005
506,111006
507,111007
508,111008
509,111101
510,111102
511,111103
512,111104
513,111201
514,111202
515,111203
516,111204
517,111205
518,111301
519,111302
520,111401
521,111402
522,111403
523,111404
524,111405
525,111406
526,111501
527,111502
528,111503
529,111601
530,111602
531,111603
532,111604
533,111701
534,111702
535,111703
536,111704
537,111705
538,111801
539,111802
540,111803
541,111804
542,111901
543,111902
544,111903
545,111904
546,111905
547,111906
548,111907
549,111908
550,111909
551,112001
552,112002
553,112003
554,112101
555,112102
556,112103
557,112104
558,112105
559,112201
560,112202
561,112203
562,112301
563,112401
564,112402
565,112403
566,112404
567,112501
568,112502
569,112503
570,112504
571,112601
572,112602
573,112603
574,112604
575,112605
576,112701
577,112702
578,112703
579,112704
580,112801
581,112802
582,112803
583,112804
584,112901
585,112902
586,112903
587,112904
588,113001
589,113002
590,113003
591,113004
592,113101
593,113102
594,113103
595,113104
596,113201
597,113202
598,113203
599,113204
600,113205
601,113301
602,113302
603,113303
604,113401
605,113402
606,113403
607,113404
608,113405
609,113501
610,113601
611,113602
612,113603
613,113604
614,113701
615,113702
616,113703
617,113801
618,113802
619,113803
620,113804
621,113901
622,113902
623,113903
624,113904
625,113905
626,113906
627,114001
628,114002
629,114003
630,114004
631,114101
632,114102
633,114103
634,114104
635,114105
636,114106
637,114201
638,114202
639,114203
640,114204
641,114301
642,114302
643,114303
644,114304
645,114401
646,114402
647,114403
648,114404
649,114405
650,114406
651,114501
652,114502
653,114601
654,114602
655,114603
656,114604
657,114605
658,114606
659,114701
660,114702
661,114703
662,114801
663,114802
664,114803
665,114804
666,114805
667,114901
668,114902
669,114903
670,114904
671,115001
672,115101
673,115102
674,115103
675,115201
676,115202
677,115203
678,115301
679,115302
680,115303
681,115401
682,115402
683,115403
684,115404
685,115405
686,115501
687,115502
688,115503
689,115504
690,115505
691,115506
692,115601
693,115701
694,115702
695,115703
696,115704
697,115705
698,115706
699,115707
700,115801
701,115802
702,115803
703,115804
704,115805
705,115806
706,115807
707,115808
708,115809
709,115810
710,115901
711,115902
712,115903
713,115904
714,115905
715,115906
716,115907
717,115908
718,116001
719,116002
720,116003
721,116004
722,116101
723,116102
724,116103
725,116104
726,116105
727,116106
728,116107
729,116201
730,116202
731,116203
732,116204
733,116205
734,116206
735,116207
736,116208
737,116209
738,116210
739,116301
740,116302
741,116303
742,116304
743,116305
744,116306
745,116307
746,116308
747,116309
748,116310
749,116311
750,116312
751,116401
752,116402
753,116403
754,116404
755,116501
756,116502
757,116503
758,116504
759,116601
760,116602
761,116603
762,116604
763,116605
764,116701
765,116702
766,116703
767,116704
768,116801
769,116802
770,116803
771,116804
772,116805
773,116901
774,116902
775,116903
776,116904
777,116905
778,116906
779,117001
780,117002
781,117003
782,117004
783,117005
784,117101
785,117102
786,117103
787,117104
788,117105
789,117201
790,117202
791,117203
792,117204
793,117205
794,117301
795,117302
796,117303
797,117304
798,117305
799,117401
800,117402
801,117403
802,117404
803,117405
804,117406
805,117501
806,117502
807,117503
808,117504
809,117505
810,117506
811,117601
812,117602
813,117603
814,117701
815,117702
816,117801
817,117802
818,117803
819,117804
820,117901
821,117902
822,117903
823,117904
824,117905
825,117906
826,117907
827,118001
828,118002
829,118003
830,118004
831,118005
832,118101
833,118102
834,118103
835,118104
836,118105
837,118201
838,118202
839,118301
840,118302
841,118303
842,118304
